StringID   Type       x          y          demand     DeliveryDemand  PickupDemand  DivisionRate ReadyTime  DueDate    ServiceTime
D0         d          50.0       150.0      0.0        0.0        0.0        0.0        0.0        9999.0     0.0
S0         s          25.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
S2         s          75.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
S5         s          25.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
S7         s          75.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F_sS0      f          25.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F_sS2      f          75.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F_sS5      f          25.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F_sS7      f          75.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F0         f          32.0       56.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F1         f          25.0       24.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F2         f          54.0       45.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F3         f          29.0       96.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F4         f          90.0       17.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F5         f          90.0       33.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F6         f          65.0       31.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F7         f          49.0       17.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F8         f          73.0       87.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F9         f          52.0       68.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F10        f          0.0        63.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F11        f          57.0       45.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F12        f          27.0       42.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F13        f          77.0       73.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F14        f          55.0       71.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F15        f          41.0       55.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F16        f          34.0       42.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F17        f          60.0       51.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F18        f          38.0       18.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F19        f          24.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F20        f          26.0       11.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
C0         c          80.0       41.0       10.0       5.0        5.0        35.0       1615.0     1688.0     90.0
C2         c          47.0       7.0        35.0       5.0        30.0       25.0       889.0      1624.0     90.0
C5         c          23.0       49.0       11.0       5.0        6.0        40.0       993.0      1005.0     90.0
C6         c          33.0       26.0       10.0       8.0        2.0        40.0       693.0      2847.0     90.0
C8         c          48.0       32.0       17.0       11.0       6.0        30.0       670.0      3126.0     90.0
C10        c          41.0       62.0       26.0       17.0       9.0        25.0       1457.0     1967.0     90.0
C11        c          72.0       56.0       23.0       18.0       5.0        40.0       1249.0     2840.0     90.0
C14        c          0.0        37.0       18.0       0.0        18.0       35.0       2043.0     3118.0     90.0
C18        c          27.0       71.0       20.0       8.0        12.0       40.0       258.0      2932.0     90.0
C19        c          18.0       40.0       34.0       15.0       19.0       50.0       434.0      1187.0     90.0
C20        c          32.0       50.0       10.0       6.0        4.0        35.0       512.0      2849.0     90.0
C25        c          81.0       37.0       10.0       5.0        5.0        25.0       2902.0     3104.0     90.0
C26        c          19.0       53.0       10.0       4.0        6.0        35.0       1452.0     2196.0     90.0
C30        c          66.0       53.0       29.0       23.0       6.0        35.0       277.0      2713.0     90.0
C33        c          43.0       18.0       10.0       4.0        6.0        25.0       1723.0     2310.0     90.0
C35        c          60.0       87.0       28.0       19.0       9.0        50.0       476.0      3209.0     90.0
C36        c          42.0       56.0       23.0       17.0       6.0        35.0       957.0      1715.0     90.0
C40        c          57.0       73.0       21.0       16.0       5.0        50.0       2865.0     3073.0     90.0
C41        c          7.0        55.0       10.0       1.0        9.0        40.0       821.0      1510.0     90.0
C43        c          23.0       82.0       27.0       8.0        19.0       35.0       1700.0     1976.0     90.0
C44        c          56.0       78.0       16.0       11.0       5.0        25.0       2453.0     3124.0     90.0
C45        c          2.0        49.0       10.0       0.0        10.0       50.0       1168.0     3263.0     90.0
C47        c          42.0       2.0        20.0       1.0        19.0       50.0       1349.0     1982.0     90.0
C48        c          21.0       51.0       24.0       10.0       14.0       50.0       449.0      1949.0     90.0
C49        c          24.0       33.0       18.0       13.0       5.0        40.0       1039.0     2003.0     90.0
C50        c          7.0        45.0       12.0       2.0        10.0       25.0       1600.0     3101.0     90.0
C51        c          29.0       34.0       14.0       12.0       2.0        35.0       876.0      951.0      90.0
C54        c          38.0       34.0       25.0       22.0       3.0        50.0       1251.0     1955.0     90.0
C55        c          66.0       59.0       15.0       13.0       2.0        30.0       586.0      2761.0     90.0
C58        c          62.0       91.0       26.0       18.0       8.0        35.0       264.0      1293.0     90.0
C59        c          33.0       53.0       32.0       20.0       12.0       40.0       845.0      2438.0     90.0
C60        c          71.0       53.0       10.0       7.0        3.0        35.0       872.0      1594.0     90.0
C61        c          42.0       31.0       30.0       22.0       8.0        30.0       2523.0     2570.0     90.0
C65        c          38.0       59.0       19.0       12.0       7.0        30.0       1548.0     2381.0     90.0
C68        c          76.0       44.0       25.0       14.0       11.0       20.0       2552.0     3074.0     90.0
C69        c          75.0       49.0       25.0       16.0       9.0        25.0       764.0      3185.0     90.0
C70        c          35.0       5.0        11.0       2.0        9.0        35.0       1546.0     3015.0     90.0
C72        c          12.0       71.0       13.0       2.0        11.0       40.0       1518.0     2478.0     90.0
C73        c          54.0       75.0       23.0       17.0       6.0        50.0       862.0      885.0      90.0
C75        c          31.0       47.0       37.0       24.0       13.0       25.0       1116.0     3066.0     90.0
C78        c          86.0       47.0       20.0       11.0       9.0        35.0       1429.0     1781.0     90.0
C81        c          90.0       25.0       15.0       4.0        11.0       30.0       1406.0     3214.0     90.0
C83        c          20.0       79.0       13.0       3.0        10.0       25.0       1909.0     2002.0     90.0
C84        c          48.0       29.0       21.0       13.0       8.0        30.0       1829.0     2876.0     90.0
C86        c          38.0       35.0       10.0       9.0        1.0        40.0       795.0      894.0      90.0
C89        c          29.0       66.0       27.0       12.0       15.0       30.0       210.0      550.0      90.0
C90        c          46.0       23.0       23.0       12.0       11.0       50.0       230.0      1839.0     90.0
C91        c          32.0       1.0        20.0       1.0        19.0       20.0       398.0      2196.0     90.0
C92        c          3.0        35.0       13.0       1.0        12.0       25.0       118.0      3055.0     90.0
C93        c          50.0       31.0       29.0       18.0       11.0       40.0       569.0      3360.0     90.0

L Large vehicle loading capacity /1400.0/
C Electric vehicle loading capacity /175.0/
Q Electric vehicle battery capacity /117.8/
