StringID   Type       x          y          demand     DeliveryDemand  PickupDemand  DivisionRate ReadyTime  DueDate    ServiceTime
D0         d          50.0       150.0      0.0        0.0        0.0        0.0        0.0        9999.0     0.0
S0         s          25.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
S2         s          75.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
S5         s          25.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
S7         s          75.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F_sS0      f          25.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F_sS2      f          75.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F_sS5      f          25.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F_sS7      f          75.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F0         f          68.0       20.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F1         f          12.0       35.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F2         f          75.0       38.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F3         f          32.0       21.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F4         f          35.0       5.0        0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F5         f          75.0       53.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F6         f          63.0       31.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F7         f          31.0       12.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F8         f          28.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F9         f          54.0       54.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F10        f          18.0       26.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F11        f          75.0       70.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F12        f          57.0       16.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F13        f          32.0       23.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F14        f          60.0       19.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F15        f          69.0       10.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F16        f          52.0       48.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F17        f          40.0       50.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F18        f          11.0       53.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F19        f          14.0       21.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F20        f          28.0       44.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
C5         c          67.0       66.0       23.0       23.0       0.0        40.0       289.0      292.0      10.0
C6         c          19.0       3.0        22.0       3.0        19.0       35.0       248.0      295.0      10.0
C7         c          17.0       59.0       30.0       9.0        21.0       35.0       189.0      213.0      10.0
C8         c          34.0       3.0        20.0       2.0        18.0       30.0       225.0      235.0      10.0
C11        c          2.0        11.0       16.0       3.0        13.0       40.0       129.0      211.0      10.0
C14        c          48.0       44.0       12.0       11.0       1.0        30.0       136.0      149.0      10.0
C16        c          20.0       54.0       19.0       7.0        12.0       30.0       183.0      211.0      10.0
C18        c          47.0       25.0       1.0        1.0        0.0        30.0       152.0      307.0      10.0
C19        c          28.0       17.0       9.0        5.0        4.0        30.0       190.0      248.0      10.0
C20        c          23.0       35.0       19.0       12.0       7.0        40.0       268.0      328.0      10.0
C23        c          35.0       34.0       29.0       28.0       1.0        30.0       176.0      307.0      10.0
C27        c          33.0       9.0        11.0       3.0        8.0        30.0       209.0      226.0      10.0
C29        c          30.0       31.0       3.0        3.0        0.0        30.0       152.0      192.0      10.0
C32        c          35.0       3.0        8.0        1.0        7.0        25.0       163.0      256.0      10.0
C33        c          22.0       41.0       15.0       8.0        7.0        20.0       181.0      280.0      10.0
C36        c          16.0       13.0       13.0       11.0       2.0        40.0       207.0      291.0      10.0
C37        c          59.0       39.0       13.0       9.0        4.0        40.0       173.0      248.0      10.0
C38        c          61.0       54.0       20.0       18.0       2.0        40.0       167.0      192.0      10.0
C41        c          30.0       44.0       21.0       14.0       7.0        40.0       275.0      296.0      10.0
C44        c          2.0        21.0       20.0       2.0        18.0       40.0       137.0      173.0      10.0
C46        c          43.0       18.0       6.0        3.0        3.0        30.0       155.0      211.0      10.0
C48        c          5.0        39.0       15.0       2.0        13.0       45.0       269.0      317.0      10.0
C53        c          37.0       14.0       17.0       6.0        11.0       25.0       233.0      249.0      10.0
C54        c          2.0        32.0       2.0        0.0        2.0        20.0       192.0      197.0      10.0
C56        c          2.0        31.0       22.0       1.0        21.0       35.0       176.0      296.0      10.0
C59        c          42.0       33.0       18.0       14.0       4.0        45.0       252.0      288.0      10.0
C60        c          4.0        3.0        16.0       12.0       4.0        35.0       248.0      280.0      10.0
C61        c          23.0       34.0       24.0       16.0       8.0        50.0       209.0      248.0      10.0
C62        c          59.0       17.0       25.0       7.0        18.0       35.0       161.0      255.0      10.0
C63        c          46.0       40.0       19.0       17.0       2.0        40.0       141.0      219.0      10.0
C65        c          37.0       3.0        8.0        1.0        7.0        35.0       247.0      268.0      10.0
C68        c          67.0       51.0       22.0       17.0       5.0        35.0       143.0      156.0      10.0
C71        c          18.0       34.0       18.0       10.0       8.0        50.0       182.0      213.0      10.0
C72        c          50.0       3.0        26.0       2.0        24.0       50.0       289.0      312.0      10.0
C74        c          43.0       3.0        4.0        0.0        4.0        30.0       226.0      264.0      10.0
C75        c          34.0       43.0       1.0        1.0        0.0        50.0       220.0      237.0      10.0
C77        c          46.0       53.0       29.0       25.0       4.0        45.0       155.0      265.0      10.0
C78        c          49.0       5.0        23.0       2.0        21.0       35.0       200.0      309.0      10.0
C82        c          29.0       40.0       17.0       12.0       5.0        35.0       289.0      290.0      10.0
C83        c          16.0       40.0       16.0       6.0        10.0       40.0       119.0      198.0      10.0
C84        c          28.0       32.0       9.0        8.0        1.0        40.0       143.0      257.0      10.0
C85        c          39.0       7.0        8.0        1.0        7.0        25.0       282.0      293.0      10.0
C86        c          49.0       43.0       22.0       19.0       3.0        35.0       190.0      290.0      10.0
C87        c          34.0       63.0       40.0       22.0       18.0       40.0       188.0      193.0      10.0
C88        c          28.0       15.0       22.0       12.0       10.0       35.0       190.0      293.0      10.0
C90        c          12.0       41.0       14.0       4.0        10.0       35.0       241.0      281.0      10.0
C93        c          22.0       32.0       7.0        5.0        2.0        30.0       264.0      303.0      10.0
C95        c          36.0       68.0       11.0       6.0        5.0        40.0       164.0      172.0      10.0
C97        c          24.0       22.0       17.0       16.0       1.0        30.0       205.0      249.0      10.0
C99        c          31.0       48.0       15.0       10.0       5.0        40.0       216.0      264.0      10.0

L Large vehicle loading capacity /800.0/
C Electric vehicle loading capacity /100.0/
Q Electric vehicle battery capacity /65.5/
r Fuel consumption rate /1.0/
g Inverse refueling rate /0.5/
v Average velocity /1.0/
