StringID   Type       x          y          demand     DeliveryDemand  PickupDemand  DivisionRate ReadyTime  DueDate    ServiceTime
D0         d          50.0       150.0      0.0        0.0        0.0        0.0        0.0        9999.0     0.0
S0         s          25.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
S2         s          75.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
S5         s          25.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
S7         s          75.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F_sS0      f          25.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F_sS2      f          75.0       25.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F_sS5      f          25.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F_sS7      f          75.0       75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F0         f          47.0       62.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F1         f          79.0       56.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F2         f          34.0       89.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F3         f          48.0       37.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F4         f          49.0       77.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F5         f          40.0       37.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F6         f          19.0       11.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F7         f          9.0        59.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F8         f          41.0       54.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F9         f          70.0       14.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F10        f          50.0       22.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F11        f          36.0       39.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F12        f          0.0        75.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F13        f          35.0       18.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F14        f          89.0       64.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F15        f          57.0       74.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F16        f          27.0       91.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F17        f          17.0       43.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F18        f          58.0       71.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F19        f          39.0       73.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
F20        f          80.0       44.0       0.0        0.0        0.0        0.0        0.0        9999.0     0.0
C0         c          63.0       48.0       14.0       11.0       3.0        25.0       146.0      499.0      10.0
C1         c          0.0        35.0       25.0       0.0        25.0       40.0       170.0      1041.0     10.0
C3         c          35.0       75.0       14.0       7.0        7.0        50.0       323.0      1037.0     10.0
C10        c          30.0       2.0        11.0       1.0        10.0       40.0       667.0      679.0      10.0
C12        c          39.0       3.0        33.0       3.0        30.0       35.0       551.0      674.0      10.0
C14        c          64.0       84.0       9.0        7.0        2.0        45.0       388.0      800.0      10.0
C16        c          67.0       37.0       23.0       13.0       10.0       40.0       301.0      440.0      10.0
C20        c          17.0       82.0       6.0        1.0        5.0        25.0       485.0      861.0      10.0
C21        c          35.0       31.0       18.0       16.0       2.0        50.0       200.0      950.0      10.0
C23        c          21.0       84.0       5.0        1.0        4.0        25.0       584.0      785.0      10.0
C24        c          40.0       13.0       30.0       10.0       20.0       35.0       682.0      750.0      10.0
C25        c          75.0       3.0        18.0       1.0        17.0       30.0       704.0      883.0      10.0
C27        c          11.0       49.0       13.0       3.0        10.0       40.0       262.0      923.0      10.0
C28        c          54.0       51.0       6.0        6.0        0.0        40.0       469.0      566.0      10.0
C30        c          34.0       8.0        14.0       3.0        11.0       30.0       304.0      451.0      10.0
C31        c          14.0       43.0       16.0       5.0        11.0       30.0       270.0      587.0      10.0
C38        c          39.0       6.0        14.0       2.0        12.0       45.0       614.0      789.0      10.0
C40        c          59.0       83.0       11.0       8.0        3.0        35.0       548.0      599.0      10.0
C41        c          38.0       15.0       2.0        1.0        1.0        35.0       297.0      616.0      10.0
C42        c          86.0       32.0       23.0       9.0        14.0       35.0       493.0      887.0      10.0
C45        c          37.0       34.0       19.0       17.0       2.0        35.0       304.0      487.0      10.0
C47        c          13.0       59.0       20.0       4.0        16.0       50.0       221.0      438.0      10.0
C50        c          16.0       79.0       2.0        0.0        2.0        45.0       592.0      897.0      10.0
C51        c          83.0       33.0       28.0       11.0       17.0       20.0       133.0      381.0      10.0
C52        c          41.0       29.0       27.0       19.0       8.0        30.0       477.0      524.0      10.0
C55        c          17.0       31.0       21.0       12.0       9.0        30.0       256.0      292.0      10.0
C56        c          57.0       51.0       3.0        3.0        0.0        40.0       607.0      919.0      10.0
C58        c          46.0       55.0       9.0        8.0        1.0        20.0       338.0      859.0      10.0
C59        c          93.0       31.0       11.0       4.0        7.0        35.0       185.0      890.0      10.0
C60        c          66.0       16.0       21.0       5.0        16.0       30.0       540.0      711.0      10.0
C64        c          62.0       77.0       8.0        6.0        2.0        30.0       389.0      710.0      10.0
C65        c          41.0       63.0       17.0       11.0       6.0        25.0       432.0      660.0      10.0
C71        c          58.0       85.0       20.0       14.0       6.0        50.0       862.0      927.0      10.0
C72        c          29.0       29.0       28.0       28.0       0.0        40.0       292.0      789.0      10.0
C73        c          58.0       25.0       23.0       10.0       13.0       25.0       160.0      426.0      10.0
C74        c          19.0       24.0       20.0       16.0       4.0        30.0       428.0      726.0      10.0
C81        c          64.0       83.0       18.0       14.0       4.0        50.0       710.0      1017.0     10.0
C82        c          52.0       66.0       40.0       32.0       8.0        40.0       713.0      739.0      10.0
C83        c          30.0       44.0       2.0        1.0        1.0        50.0       865.0      870.0      10.0
C85        c          41.0       15.0       31.0       11.0       20.0       35.0       228.0      527.0      10.0
C86        c          11.0       65.0       9.0        2.0        7.0        35.0       448.0      694.0      10.0
C87        c          34.0       60.0       2.0        1.0        1.0        25.0       642.0      892.0      10.0
C89        c          41.0       5.0        13.0       2.0        11.0       20.0       820.0      887.0      10.0
C90        c          66.0       81.0       26.0       21.0       5.0        25.0       136.0      362.0      10.0
C91        c          54.0       39.0       33.0       24.0       9.0        35.0       303.0      766.0      10.0
C92        c          44.0       40.0       8.0        7.0        1.0        35.0       354.0      702.0      10.0
C93        c          29.0       66.0       2.0        1.0        1.0        50.0       597.0      920.0      10.0
C94        c          85.0       30.0       29.0       10.0       19.0       25.0       703.0      889.0      10.0
C95        c          68.0       15.0       17.0       4.0        13.0       30.0       251.0      771.0      10.0
C97        c          59.0       85.0       9.0        6.0        3.0        45.0       240.0      488.0      10.0

L Large vehicle loading capacity /2000.0/
C Electric vehicle loading capacity /250.0/
Q Electric vehicle battery capacity /194.6/
r Fuel consumption rate /1.0/
g Inverse refueling rate /0.1/
v Average velocity /1.0/
