instance,instance_path,customers,instance_type,solver,solver_parallel_jobs,status,time_sec,solution_found,evs,distance,error
C101_C10x.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C101_C10x.txt,10,Clustered,ALNS,1,ok,0.3175937199994223,True,4,562.7223832855916,
C101_C10x.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C101_C10x.txt,10,Clustered,ClarkeWright,1,ok,0.002380531997914659,True,4,575.834050488616,
C102_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C102_C10x_n.txt,10,Clustered,ALNS,1,ok,0.2750328949987306,True,3,416.8280992955003,
C102_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C102_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0019053029973292723,True,4,508.85646547921675,
C103_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C103_C10x_n.txt,10,Clustered,ALNS,1,ok,0.25803108399850316,True,4,473.4338691828913,
C103_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C103_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0011345319981046487,True,4,503.11086806104305,
C104_C10x.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C104_C10x.txt,10,Clustered,ALNS,1,ok,0.381549328998517,True,2,489.75038425108113,
C104_C10x.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C104_C10x.txt,10,Clustered,ClarkeWright,1,ok,0.0008812349988147616,True,4,598.477507462365,
C105_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C105_C10x_n.txt,10,Clustered,ALNS,1,ok,0.19074846399962553,True,4,508.44101071622384,
C105_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C105_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0005643840013362933,True,4,537.2055816573047,
C106_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C106_C10x_n.txt,10,Clustered,ALNS,1,ok,0.26915975399970193,True,3,489.6413930908551,
