instance_type,solver,solver_parallel_jobs,customers,time_runs,avg_time_sec,min_time_sec,max_time_sec,distance_runs,avg_distance,min_distance,max_distance,ev_runs,avg_evs,min_evs,max_evs
All,ClarkeWright,1,5,300,0.0007674794800307912,0.00026834599702851847,0.0027301910013193265,300,415.9541776025879,229.20693659264265,676.3592574086106,300,2.1433333333333335,1.0,5.0
All,Memetic,1,5,199,9.510377223582989,9.500302758002363,9.545920069998829,199,361.52627149924524,226.3977349481637,628.2880292819495,199,1.5879396984924623,1.0,4.0
All,ClarkeWright,1,10,300,0.0024993678134827254,0.0004600550018949434,0.03586001499934355,300,592.0135370498324,357.2474110512863,955.7623957434082,300,3.6166666666666667,1.0,7.0
All,Memetic,1,10,173,9.535915764572103,9.50057058800303,9.61174290299823,173,465.3122777178737,324.7748853570064,712.518301444882,173,2.005780346820809,1.0,5.0
All,ClarkeWright,1,15,300,0.0032084914365016932,0.0007918670016806573,0.03271448799932841,300,661.6252157887208,475.4651294397529,992.951918234095,300,4.713333333333333,2.0,9.0
All,Memetic,1,15,246,9.555478503902448,9.500474048996693,9.629394317002152,246,607.9342859042538,417.3927285195074,924.3715103156001,246,3.589430894308943,1.0,7.0
All,ClarkeWright,1,50,300,0.04710797203998179,0.005667098994308617,0.44384293800249,300,1016.7041350519697,827.8273091342351,1369.12177001543,300,11.393333333333333,5.0,22.0
All,Memetic,1,50,300,9.604019648820346,9.501254091999726,10.19395338200411,300,1068.9649551784346,701.065122576182,1448.1976864405526,300,8.2,3.0,17.0
All,ClarkeWright,1,100,300,0.06172324572988146,0.010378551996836904,0.4224849950041971,300,1334.2146252822338,1094.5438771088172,1795.3812024387894,300,20.93,11.0,35.0
All,Memetic,1,100,99,10.318147860373362,9.539404518000083,10.99828886600153,99,1408.0913135008527,1185.0143649716338,1785.0329830664946,99,16.555555555555557,8.0,28.0
Clustered,ClarkeWright,1,5,100,0.0007023065300745657,0.0003143680005450733,0.0025937269965652376,100,402.6740386614252,229.20693659264265,676.3592574086106,100,2.13,1.0,4.0
Clustered,Memetic,1,5,74,9.507692112851588,9.500302758002363,9.525128784000117,74,359.11185828271306,226.3977349481637,471.3887371185823,74,1.7432432432432432,1.0,3.0
Clustered,ClarkeWright,1,10,100,0.0027773437900759745,0.0007451490018866025,0.03586001499934355,100,571.1809977938926,369.2712120821912,862.128709806901,100,3.67,1.0,7.0
Clustered,Memetic,1,10,65,9.5390155230613,9.500978227995802,9.607570070002112,65,475.1878570072152,324.7748853570064,670.1757356412589,65,2.3384615384615386,1.0,5.0
Clustered,ClarkeWright,1,15,100,0.0029785603396157967,0.0009544420026941225,0.015192345999821555,100,645.5598290407129,475.4651294397529,839.4094048203777,100,4.57,2.0,7.0
Clustered,Memetic,1,15,89,9.555968999583976,9.500536626997928,9.626402636997227,89,606.6089977921216,443.6565365958677,719.9451732729128,89,4.033707865168539,2.0,6.0
Clustered,ClarkeWright,1,50,100,0.0389092847496795,0.007224371998745482,0.10983180399489356,100,959.2933493784012,845.269505636207,1080.4717966156777,100,10.93,6.0,15.0
Clustered,Memetic,1,50,100,9.572576082660015,9.501991623998038,9.893342777002545,100,1017.5370938426413,798.7304926486107,1212.7014345823575,100,8.22,5.0,12.0
Clustered,ClarkeWright,1,100,100,0.030470329459858475,0.016324180003721267,0.11610593100340338,100,1245.5490800571074,1094.5438771088172,1421.9036359299362,100,20.67,11.0,26.0
Clustered,Memetic,1,100,31,10.37589384093477,9.54641218100005,10.967956567001238,31,1288.8425000454758,1185.0143649716338,1469.5504064972756,31,16.193548387096776,10.0,22.0
Mixed,ClarkeWright,1,5,100,0.0008567391602264251,0.00027859799592988566,0.0027301910013193265,100,423.68234732535313,258.6050033252378,655.0006118294074,100,2.15,1.0,5.0
Mixed,Memetic,1,5,73,9.512675092863265,9.500357666001946,9.545920069998829,73,383.58588293774636,273.00387701359926,628.2880292819495,73,1.7671232876712328,1.0,4.0
Mixed,ClarkeWright,1,10,100,0.0025860565100447276,0.0007277370023075491,0.011736930995539296,100,611.480736022881,390.9216487347094,955.7623957434082,100,3.68,1.0,7.0
Mixed,Memetic,1,10,56,9.535024111642477,9.500751717001549,9.61174290299823,56,498.14848854014315,382.34136705276626,712.518301444882,56,2.142857142857143,1.0,5.0
Mixed,ClarkeWright,1,15,100,0.00340523469960317,0.0008895219943951815,0.01614299100037897,100,691.8071257526797,560.3247278136917,992.951918234095,100,4.84,2.0,9.0
Mixed,Memetic,1,15,89,9.558256314224788,9.500474048996693,9.629394317002152,89,646.6403853789061,517.8179516121274,924.3715103156001,89,3.752808988764045,2.0,7.0
Mixed,ClarkeWright,1,50,100,0.03752913647018431,0.005974079998850357,0.17262000299524516,100,1036.5668832738695,874.6319580628848,1214.176972797806,100,11.42,6.0,16.0
Mixed,Memetic,1,50,100,9.58744677952076,9.501254091999726,9.946238538002945,100,1090.997078730471,888.0323954667307,1309.5922275684168,100,8.32,4.0,14.0
Mixed,ClarkeWright,1,100,100,0.0539103716599493,0.010378551996836904,0.240885769999295,100,1408.6315490836894,1196.8366766439422,1675.141025348641,100,21.37,11.0,29.0
Mixed,Memetic,1,100,43,10.280700414627148,9.542819030997634,10.99828886600153,43,1457.2649226775234,1319.9768489744426,1572.8476488894396,43,15.930232558139535,10.0,20.0
Random,ClarkeWright,1,5,100,0.0007433927497913828,0.00026834599702851847,0.002279570995597169,100,421.5061468209854,261.502635638286,668.1744809420285,100,2.15,1.0,4.0
Random,Memetic,1,5,52,9.510972487749594,9.500393797003198,9.531122667998716,52,333.9938665571836,261.502635638286,504.3548585515228,52,1.1153846153846154,1.0,3.0
Random,ClarkeWright,1,10,100,0.002134703140327474,0.0004600550018949434,0.010273426996718626,100,593.3788773327233,357.2474110512863,948.5172940058317,100,3.5,1.0,6.0
Random,Memetic,1,10,52,9.533001308077123,9.50057058800303,9.611661581999215,52,417.6057304129837,328.60326053394493,530.4831869967161,52,1.4423076923076923,1.0,3.0
Random,ClarkeWright,1,15,100,0.003241679270286113,0.0007918670016806573,0.03271448799932841,100,647.5086925727699,490.1492524446287,941.59171448911,100,4.73,2.0,8.0
Random,Memetic,1,15,68,9.551200868103265,9.5006542800038,9.626697071995295,68,559.009400444485,417.3927285195074,733.6055109751701,68,2.7941176470588234,1.0,6.0
Random,ClarkeWright,1,50,100,0.06488549490008154,0.005667098994308617,0.44384293800249,100,1054.2521725036383,827.8273091342351,1369.12177001543,100,11.83,5.0,22.0
Random,Memetic,1,50,100,9.652036084280262,9.501723551002215,10.19395338200411,100,1098.3606929621913,701.065122576182,1448.1976864405526,100,8.06,3.0,17.0
Random,ClarkeWright,1,100,100,0.10078903606983658,0.01728775799711002,0.4224849950041971,100,1348.4632467059046,1137.5113947302898,1795.3812024387894,100,20.75,11.0,35.0
Random,Memetic,1,100,25,10.310952451160702,9.539404518000083,10.930400724006176,25,1471.3812344016467,1256.5320772182843,1785.0329830664946,25,18.08,8.0,28.0
